Afghanistan|Pashto	
Netherlands|Dutch	
Netherlands Antilles|Papiamento	
Albania|Albaniana	
Algeria|Arabic	
American Samoa|Samoan	
Anguilla|English	
United Arab Emirates|Arabic	
Argentina|Spanish	
Armenia|Armenian	
Australia|English	
Azerbaijan|Azerbaijani	
Bahrain|Arabic	
Bangladesh|Bengali	
Belgium|Dutch	
Belize|English	
Bermuda|English	
Bhutan|Dzongkha	
Bolivia|Spanish	
Bosnia and Herzegovina|Serbo-Croatian	
Brazil|Portuguese	
United Kingdom|English	
Virgin Islands	 British|English
Brunei|Malay	
Bulgaria|Bulgariana	
Burundi|Kirundi	
Cayman Islands|English	
Chile|Spanish	
Cook Islands|Maori	
Costa Rica|Spanish	
Dominican Republic|Spanish	
Ecuador|Spanish	
Egypt|Arabic	
El Salvador|Spanish	
Eritrea|Tigrinja	
Spain|Spanish	
South Africa|Zulu	
Falkland Islands|English	
Fiji Islands|Fijian	
Philippines|Pilipino	
Faroe Islands|Faroese	
Georgia|Georgiana	
Gibraltar|English	
Greenland|Greenlandic	
Guam|English	
Guatemala|Spanish	
Honduras|Spanish	
Svalbard and Jan Mayen|Norwegian	
India|Hindi	
Iraq|Arabic	
Iran|Persian	
Ireland|English	
Iceland|Icelandic	
Israel|Hebrew	
Italy|Italian	
Austria|German	
Japan|Japanese	
Yemen|Arabic	
Jordan|Arabic	
Yugoslavia|Serbo-Croatian	
Cambodia|Khmer	
Canada|English	
Kazakstan|Kazakh	
China|Chinese	
Kyrgyzstan|Kirgiz	
Kiribati|Kiribati	
Colombia|Spanish	
Comoros|Comorian	
North Korea|Korean	
South Korea|Korean	
Greece|Greek	
Croatia|Serbo-Croatian	
Cuba|Spanish	
Kuwait|Arabic	
Cyprus|Greek	
Laos|Lao	
Latvia|Latvian	
Lesotho|Sotho	
Lebanon|Arabic	
Libyan Arab Jamahiriya|Arabic	
Liechtenstein|German	
Lithuania|Lithuanian	
Luxembourg|Luxembourgish	
Western Sahara|Arabic	
Madagascar|Malagasy	
Macedonia|Macedonian	
Malawi|Chichewa	
Maldives|Dhivehi	
Malaysia|Malay	
Malta|Maltese	
Morocco|Arabic	
Marshall Islands|Marshallese	
Mexico|Spanish	
Moldova|Romanian	
Monaco|French	
Mongolia|Mongolian	
Montserrat|English	
Myanmar|Burmese	
Nauru|Nauru	
Nepal|Nepali	
Nicaragua|Spanish	
Norfolk Island|English	
Norway|Norwegian	
Oman|Arabic	
Palau|Palau	
Panama|Spanish	
Paraguay|Spanish	
Peru|Spanish	
Portugal|Portuguese	
Puerto Rico|Spanish	
Poland|Polish	
Qatar|Arabic	
France|French	
Romania|Romanian	
Rwanda|Rwanda	
Sweden|Swedish	
Saint Helena|English	
Saint Pierre and Miquelon|French	
Germany|German	
San Marino|Italian	
Saudi Arabia|Arabic	
Senegal|Wolof	
Singapore|Chinese	
Slovakia|Slovak	
Slovenia|Slovene	
Somalia|Somali	
Sri Lanka|Singali	
Sudan|Arabic	
Finland|Finnish	
Swaziland|Swazi	
Switzerland|German	
Syria|Arabic	
Tajikistan|Tadzhik	
Denmark|Danish	
Thailand|Thai	
Togo|Ewe	
Tonga|Tongan	
Czech Republic|Czech	
Tunisia|Arabic	
Turkey|Turkish	
Turkmenistan|Turkmenian	
Turks and Caicos Islands|English	
Tuvalu|Tuvalu	
Ukraine|Ukrainian	
Hungary|Hungarian	
Uruguay|Spanish	
New Zealand|English	
Uzbekistan|Uzbek	
Belarus|Belorussian	
Vanuatu|Bislama	
Holy See (Vatican City State)|Italian	
Venezuela|Spanish	
Russian Federation|Russian	
Vietnam|Vietnamese	
Estonia|Estonian	
United States|English	
Virgin Islands	 U.S.|English
United States Minor Outlying Islands|English	
Afghanistan|Dari	
American Samoa|English	
Andorra|Catalan	
Antigua and Barbuda|English	
Barbados|English	
Belgium|French	
Bolivia|Ket?ua	
Burundi|French	
South Africa|Xhosa	
Faroe Islands|Danish	
Greenland|Danish	
Guadeloupe|French	
Guam|Chamorro	
Haiti|French	
Hong Kong|English	
Ireland|Irish	
Israel|Arabic	
East Timor|Portuguese	
Christmas Island|English	
Canada|French	
Cape Verde|Portuguese	
Kyrgyzstan|Russian	
Cocos (Keeling) Islands|English	
Cyprus|Turkish	
Macao|Portuguese	
Madagascar|French	
Malta|English	
Marshall Islands|English	
Martinique|French	
Mayotte|French	
Niue|English	
Paraguay|Guarani	
Peru|Ket?ua	
French Polynesia|French	
Rwanda|French	
Saint Kitts and Nevis|English	
Saint Lucia|English	
Saint Vincent and the Grenadines|English	
Samoa|Samoan	
Seychelles|English	
Singapore|Malay	
Somalia|Arabic	
Sri Lanka|Tamil	
Finland|Swedish	
Switzerland|French	
Taiwan|Chinese	
Tanzania|Swahili	
Togo|Kabyz	
Tokelau|English	
Tonga|English	
Chad|Arabic	
New Caledonia|French	
Belarus|Russian	
Vanuatu|English	
Netherlands Antilles|Dutch	
Bolivia|Aimara	
Djibouti|Arabic	
South Africa|Afrikaans	
Indonesia|Malay	
Lesotho|English	
Palau|English	
Peru|Aimara	
Romania|Romani	
Samoa|English	
Seychelles|French	
Singapore|Tamil	
Switzerland|Italian	
Tuvalu|English	
Vanuatu|French	
Zimbabwe|English	
Aruba|Dutch	
Guinea Bissau|Portuguese	
Luxembourg|French	
Switzerland|Romansh	
Belgium|German	
South Africa|English	
Luxembourg|German	
Nauru|English	
Pakistan|Urdu	
Northern Mariana Islands|English	
England|English	
Scotland|Scottish	
Scotland|English	
Korea Republic|Korean	
Wales|Welsh	
Wales|English	
Kosovo|Serbian	
Serbia|Serbian	
Ivory Coast|French	
Republic of Ireland|Irish	
Northern Ireland|Irish	
Northern Ireland|English	
Russia|Russian	
DR Congo|French	
North Macedonia|Macedonian	
Bosnia Herzegovina|Bosnian	
China PR|Chinese	
Montenegro|Montenegrin	
Curacao|Dutch	
Trinidad & Tobago|English	
Brunei Darussalam|Malay	
Kazakhstan|Kazakh	
Korea DPR|Korean	
Macau|Chinese	
Libya|Libyan	
Antigua & Barbuda|English	
São Tomé & Príncipe|Portuguese	
Chinese Taipei|Chineses	
South Sudan|Arabic	
Fiji|Fijian	
Cameroon|French	
Burkina Faso|French	
Nigeria|English	
Ghana|English	
Zambia|English	
Gabon|French	
Jamaica|English	
Mali|French	
Central African Republic|Sango	
Guinea|French	
Gambia|English	
Liberia|English	
Angola|Portuguese	
Namibia|English	
Sierra Leone|English	
Kenya|English	
Congo|French	
Uganda|English	
Benin|French	
Mozambique|Portuguese	
Equatorial Guinea|Spanish	
Mauritania|Arabic	
Guyana|English	
Grenada|English	
Niger|French	
Papua New Guinea|English	
Palestine|Arabic	
Suriname|Dutch	
Ethiopia|Amharic	
